127.0.0.1 - - [22/Aug/2024:13:59:42 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Aug/2024:13:59:56 +0200] "GET /gestione-dentista/WEB-INF/classes/com/dentista/gestionedentista/GestioneDentistaApplication.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Aug/2024:13:59:56 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:00:38 +0200] "OPTIONS /api/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:00:51 +0200] "OPTIONS /api/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:01:12 +0200] "OPTIONS /api/appuntamenti HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:01:27 +0200] "OPTIONS /api/pazienti HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:01:28 +0200] "OPTIONS /api/operazioni HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:01:53 +0200] "GET /gestione-dentista/WEB-INF/classes/com/dentista/gestionedentista/GestioneDentistaApplication.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Aug/2024:14:01:53 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Aug/2024:15:05:25 +0200] "OPTIONS /api/appuntamenti HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:15:05:42 +0200] "OPTIONS /api/operazioni HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:15:05:45 +0200] "OPTIONS /api/pazienti HTTP/1.1" 200 -
